latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
42.368786,-71.217674,,Point,DESCAR JEWELRY DESIGN,49 RIVER ST,,WALTHAM,MA,2453
41.682342,-69.959778,,Point,DOLLI LLAMA,612 MAIN ST,,CHATHAM,MA,2633
42.093893,-72.069708,,Point,GARIERI JEWELERS,139 MAIN ST,,STURBRIDGE,MA,1566
42.081592,-71.384061,,Point,JOSEPH'S FINE JEWELRY,287 EAST CENTRAL ST,,FRANKLIN,MA,2038
42.273914,-71.02491,,Point,JOYCE & GENDREAU,52 BILLINGS RD,,QUINCY,MA,2171
41.815672,-72.86544,,Point,KEVIN EDWARDS JEWELERS,395 W MAIN ST,,AVON,CT,6001
42.219839,-70.799386,,Point,KING JEWELERS,812 RT 3A,,COHASSET,MA,2025
42.81088,-70.869624,,Point,M.K. BENATTI JEWELERS,1 STATE STREET,,NEWBURYPORT,MA,1950
42.459098,-71.06271,,Point,MORGAN JEWELERS,695 MAIN ST,,MELROSE,MA,2176
42.337303,-71.04334,,Point,MURPHY'S JEWELRY,430 WEST 1ST STREET,,S BOSTON,MA,2127
42.176055,-70.889056,,Point,N.E. JEWELRY,43 WHITING ST,,HINGHAM,MA,2043
42.822764,-71.103909,,Point,NASER JEWELERS,37 PLAISTOW ROAD,,PLAISTOW,NH,3865
41.779457,-69.960791,,Point,OCEANA,P.O.BOX 1550,,ORLEANS,MA,2653
41.628631,-70.386006,,Point,OYSTER ISLAND EMPORIUM,846 MAIN ST,,OSTERVILLE,MA,2655
42.459055,-71.069253,,Point,PERELLA JEWELERS,136 W EMERSON ST,,MELROSE,MA,2176
42.319834,-72.629762,,Point,SILVERSCAPE DESIGNS,1 KING ST,,NORTHAMPTON,MA,1060
42.241465,-70.888736,,Point,THE WHITNEY GORDON'S,39 MAIN ST,,HINGHAM,MA,2043
41.55224,-70.615623,,Point,TOUCHE,234 MAIN ST,,FALMOUTH,MA,2540
42.084099,-71.398696,,Point,VALLEE'S,68 MAIN ST,,FRANKLIN,MA,2038
42.658584,-70.617377,,Point,VILLAGE SILVERSMITH,27 DOCK SQ,,ROCKPORT,MA,1966
41.680293,-69.958081,,Point,YANKEE INGENUITY,525 MAIN ST,,CHATHAM,MA,2633
42.086657,-72.620892,,Point,Coopers Gifts,161 Main St.,,Agawam,MA,1001
42.856321,-70.931111,,Point,Starbird Jewelers,80 Main St.,,Amesbury,MA,1913
41.943692,-71.285495,,Point,Attleboro Jewelers,35 County St.,,Attleboro,MA,2703
42.486164,-71.261582,,Point,Bedford Jewelers,323 Great Rd.,,Bedford,MA,1730
41.277856,-72.81769,,Point,Branford Jewelers,567 Main St.,,Branford,CT,6405
41.9913,-70.974838,,Point,Chateau Jewelers,51 Broad St.,,Bridgewater,MA,2324
41.669934,-71.276496,,Point,Carons Jewelers,437 Hope St.,,Bristol,RI,2890
42.13933,-71.149723,,Point,Roberts Jewelry,10B Washington St.,,Canton,MA,2021
41.921356,-70.804795,,Point,Carver Jewelers,96 North Main St.,,Carver,MA,2330
42.602537,-71.3474,,Point,Charles Frederick Jewelers,18 Alpine Lane,,Chelmsford,MA,1824
41.273233,-72.506046,,Point,Christo Jewelers,215 East Main St.,,Clinton,CT,6413
42.220916,-70.800466,,Point,Cohasset Jewelers,790A Cushing Hwy,,Cohasset,MA,2025
43.232964,-71.511537,,Point,Jewelers Workbench,12 Dominique Rd.,,Concord,NH,3101
41.687837,-71.561116,,Point,The Bead Sting,57 Sandy Bottom Rd.,,Coventry,RI,2816
41.983574,-71.46769,,Point,With Heart and Soul,3751 Mendon Rd.,,Cumberland,RI,2864
41.755746,-70.640965,,Point,Gold World,3112 Cranberry Highway,,E. Wareham,MA,2538
41.663386,-71.449994,,Point,Stencel Jewelers,40 Main St.,,East Greenwich,RI,2818
41.807376,-71.346531,,Point,MRT Jewelers,927 Warren Ave.,,East Providence,RI,2914
41.643728,-70.871037,,Point,Periwinkles,270 Huttleston Ave.,,Fairhaven,MA,2719
41.698655,-71.154098,,Point,J&J Jewelers,167 Borden St.,,Fall River,MA,2721
